Issue_Size(crores),QIB,HNI,RII,Offer Price,Month,Year,Demand_Gap,log_issue_size,Apply_Label,Nifty_Return_7d
4300.0,2.2,11.75,0.9,650,4,2022,1.3000000000000003,8.366602832783736,1,1.6350184125555334
3149.19,7.49,1.07,0.39,866,2,2022,7.1000000000000005,8.055218047460972,0,0.6308942454770206
3600.0,5.73,56.3,3.92,230,2,2022,1.8100000000000005,8.188966863648876,0,0.9636374143206838
680.0,2.68,25.61,3.08,175,1,2022,-0.3999999999999999,6.523562306149512,0,-3.336700977879925
1100.0,1.98,1.45,2.15,216,12,2021,-0.16999999999999993,7.00397413672268,0,2.3508758591852086
700.0,31.83,161.22,56.01,274,12,2021,-24.18,6.55250788703459,1,1.460393711344743
125.96,1.82,19.04,81.24,274,12,2021,-79.42,4.843872076218154,1,-0.9400894399061666
588.22,190.86,254.22,23.14,585,12,2021,167.72000000000003,6.3787996283436765,1,-1.2638367710414822
1398.3,111.9,85.33,5.24,796,12,2021,106.66000000000001,7.243727390561667,1,-1.456289938535682
1039.61,196.36,424.69,15.2,1033,12,2021,181.16000000000003,6.947562358650505,1,-4.228419014239238
600.0,1.85,4.82,12.72,118,12,2021,-10.870000000000001,6.398594934535208,0,-5.15304070511573
1335.74,8.42,42.04,8.08,425,12,2021,0.33999999999999986,7.197989092970487,0,-2.7736560697777635
659.38,2.5,25.42,7.76,550,12,2021,-5.26,6.492815426911429,0,0.7454987160281368
619.23,215.45,666.19,29.44,453,12,2021,186.01,6.430090376989552,1,-0.19193806262763902
6400.44,1.03,0.19,1.1,900,12,2021,-0.07000000000000006,8.76427824403906,0,2.006188553485644
1013.61,100.73,262.08,49.7,690,11,2021,51.03,6.922259581184945,1,-4.399720391601281
1023.47,115.77,184.58,10.56,662,11,2021,105.21,6.931930684673345,0,-5.404407097103925
600.0,145.48,850.66,119.44,197,11,2021,26.039999999999992,6.398594934535208,1,-2.0714909592458253
2073.25,7.5,3.46,8.7,1180,11,2021,-1.1999999999999993,7.637354921544395,1,-1.5486884672402557
18300.0,2.79,0.24,1.66,2150,11,2021,1.1300000000000001,9.814710982145282,0,-1.5486884672402557
5709.72,24.89,7.82,3.31,980,11,2021,21.580000000000002,8.650100389271731,1,1.5718597148506541
800.0,1.42,2.32,1.38,542,11,2021,0.040000000000000036,6.68586094706836,0,1.5718597148506541
125.43,86.51,172.43,80.49,163,11,2021,6.02000000000001,4.839688795323807,1,1.5718597148506541
1200.29,1.65,0.21,5.92,577,11,2021,-4.27,7.091151258377357,0,1.1951556161046595
5349.72,91.18,112.02,12.24,1125,11,2021,78.94000000000001,8.584986410274304,1,1.9553851535469402
2768.26,10.36,4.39,3.24,712,10,2021,7.119999999999999,7.926335415476556,0,1.8605745827861009
170.78,169.65,927.7,112.81,175,10,2021,56.84,5.146214588338078,1,-0.08320453790314764
1282.52,0.29,0.07,0.87,744,9,2021,-0.5800000000000001,7.157361582581688,0,1.9050256422605383
1894.26,13.07,1.32,1.09,531,9,2021,11.98,7.5471113112712604,0,0.84628256147945
569.64,86.64,154.81,13.36,610,9,2021,73.28,6.346758537969783,1,0.84628256147945
2780.05,32.41,33.91,1.35,353,8,2021,31.059999999999995,7.930583833216534,0,1.5900320973511795
3850.0,2.7,1.03,2.29,541,8,2021,0.41000000000000014,8.25608813381491,0,1.5900320973511795
5000.0,4.23,0.66,0.73,570,8,2021,3.5000000000000004,8.517393171418904,0,1.3155382011085681
2998.51,35.45,41.0,2.75,1618,8,2021,32.7,8.006204220976572,0,1.0466790419812577
1838.0,95.27,213.06,39.52,90,8,2021,55.74999999999999,7.516977224604321,1,1.6474855369907226
401.54,24.4,15.73,24.27,460,8,2021,0.129999999999999,5.997794470802852,0,1.6474855369907226
160.77,17.67,5.36,40.1,120,8,2021,-22.43,5.0861755733416025,0,1.6474855369907226
1213.34,49.83,116.3,42.04,954,8,2021,7.789999999999999,7.1019559983061695,0,1.6474855369907226
731.1,143.58,360.11,24.49,900,8,2021,119.09000000000002,6.595917116652597,1,3.04085508239611
1513.6,36.97,122.54,14.63,720,8,2021,22.339999999999996,7.322906656679722,0,3.3661361448465987
500.0,185.23,512.22,35.35,1083,7,2021,149.88,6.2166061010848646,1,0.1653703819197272
9375.0,51.79,32.96,7.45,76,7,2021,44.339999999999996,9.145908511816794,1,0.27636750003674493
962.33,75.4,165.03,7.69,837,7,2021,67.71000000000001,6.870396032224769,1,0.1557741299951454
1546.62,70.31,110.28,5.71,900,7,2021,64.60000000000001,7.344473545978832,1,0.1557741299951454
800.0,42.95,51.88,11.3,296,7,2021,31.650000000000002,6.68586094706836,1,0.27801242852172336
520.18,84.88,73.26,11.33,428,6,2021,73.55,6.25609547152901,1,0.7857794818693531
2143.74,5.26,1.89,2.9,825,6,2021,2.36,7.6707736118941225,1,0.7857794818693531
5550.0,3.46,0.39,1.57,291,6,2021,1.89,8.621733370690162,0,-0.49655657757927685
908.55,155.71,339.98,11.58,306,6,2021,144.13,6.812949971708225,1,-0.49655657757927685
7734.99,4.63,5.07,0.0,100,5,2021,4.63,8.95363874447459,0,1.2506453605180656
2500.0,3.05,1.44,0.4,486,4,2021,2.65,7.824445930877619,0,-3.1014107883598707
452.87,5.11,3.1,13.13,500,4,2021,-8.02,6.117810813424853,0,3.44958359630827
582.69,103.77,389.89,75.29,1101,3,2021,28.47999999999999,6.369370019974588,1,1.9731622987437358
580.84,2.18,1.31,3.09,305,3,2021,-0.9099999999999997,6.366195495846285,0,-1.4536759854035353
1174.82,2.76,1.91,2.82,87,3,2021,-0.06000000000000005,7.069721055519017,0,-1.4536759854035353
823.7,5.21,2.84,3.43,1490,3,2021,1.7799999999999998,6.7150196838393095,0,-3.927110161110914
600.0,175.43,217.62,20.06,130,3,2021,155.37,6.398594934535208,1,-3.927110161110914
760.0,65.74,97.42,10.77,555,3,2021,54.97,6.634633357861686,0,-2.54596342392579
510.0,77.53,382.21,70.4,187,3,2021,7.1299999999999955,6.236369590203704,1,-2.3472711112168976
596.41,164.99,650.79,28.4,575,3,2021,136.59,6.392603644845124,1,-2.0733825987442334
625.24,67.45,271.15,11.84,627,3,2021,55.61,6.439733684207711,1,-0.2930208959084246
819.24,65.14,73.25,16.78,94,2,2021,48.36,6.709596980361836,1,-4.469422394396172
100.0,3.1,31.59,166.65,400,2,2021,-163.55,4.61512051684126,1,-1.4111815637970926
3800.0,4.78,11.74,0.0,275,2,2021,4.78,8.24301946898925,0,2.607837548369263
412.63,8.02,32.72,26.04,385,2,2021,-18.02,6.024971854412897,1,6.849829962412746
